model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_percent,outermost_linear
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1499.2845222033968,22.721758502896183,0.018945807591080666,11.116196870803833,0.001,3,128,3,1,cuda,100,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1723.5510584002677,22.721758502896183,0.02122247777879238,10.257830381393433,0.001,3,128,3,1,cuda,100,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1408.22960853832,22.721758502896183,0.01833469420671463,9.039999008178711,0.001,3,128,3,1,cuda,100,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1332.9871713416164,22.721758502896183,0.01857677288353443,9.8307204246521,0.001,3,128,3,1,cuda,100,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1389.0867702581158,22.721758502896183,0.016112860292196274,10.934344291687012,0.001,3,128,3,1,cuda,100,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1722.6545400351406,22.721758502896183,0.009667732752859592,42.84609079360962,0.001,3,128,3,1,cuda,500,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,2002.5869114478749,22.721758502896183,0.011253715492784977,42.61854839324951,0.001,3,128,3,1,cuda,500,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1765.090148353832,22.721758502896183,0.010146950371563435,45.72896361351013,0.001,3,128,3,1,cuda,500,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1608.0934963813588,22.721758502896183,0.009651457890868187,45.841251850128174,0.001,3,128,3,1,cuda,500,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1662.264243170599,22.721758502896183,0.009774371050298214,49.46013522148132,0.001,3,128,3,1,cuda,500,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1701.7945087642236,22.721758502896183,0.008484911173582077,110.03692936897278,0.001,3,128,3,1,cuda,1000,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1956.3370291060073,22.721758502896183,0.009563610889017582,105.09815979003906,0.001,3,128,3,1,cuda,1000,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1740.304797314257,22.721758502896183,0.00888256449252367,106.54908418655396,0.001,3,128,3,1,cuda,1000,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1660.9578143302376,22.721758502896183,0.00904538668692112,109.93233132362366,0.001,3,128,3,1,cuda,1000,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1868.5059456576305,22.721758502896183,0.009056863375008106,103.85266017913818,0.001,3,128,3,1,cuda,1000,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1848.0245918570113,22.721758502896183,0.008096489124000072,203.57908964157104,0.001,3,128,3,1,cuda,2000,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,2188.3049881818943,22.721758502896183,0.00906599871814251,206.63107538223267,0.001,3,128,3,1,cuda,2000,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1822.9904004036982,22.721758502896183,0.008578424341976643,201.80815529823303,0.001,3,128,3,1,cuda,2000,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1604.5808402882362,22.721758502896183,0.00814012624323368,222.14494228363037,0.001,3,128,3,1,cuda,2000,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1879.8989957224733,22.721758502896183,0.008770892396569252,220.63124418258667,0.001,3,128,3,1,cuda,2000,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1494.4866771774598,15.244594136755884,0.01235694158822298,10.947116613388062,0.001,3,128,4,1,cuda,100,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1761.2280279974063,15.244594136755884,0.014317106455564499,9.06348466873169,0.001,3,128,4,1,cuda,100,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1333.8428283446285,15.244594136755884,0.013858131133019924,11.491163492202759,0.001,3,128,4,1,cuda,100,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1336.3798305199966,15.244594136755884,0.012920740991830826,11.664092063903809,0.001,3,128,4,1,cuda,100,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1350.4920227786145,15.244594136755884,0.01260392740368843,11.152822256088257,0.001,3,128,4,1,cuda,100,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1497.0379813524933,15.244594136755884,0.006470056250691414,57.012102365493774,0.001,3,128,4,1,cuda,500,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1725.5743050326305,15.244594136755884,0.007191931828856468,56.53037929534912,0.001,3,128,4,1,cuda,500,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1576.9785378493139,15.244594136755884,0.006908745970577002,47.870943546295166,0.001,3,128,4,1,cuda,500,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1344.2486064047857,15.244594136755884,0.007050528656691313,55.40634202957153,0.001,3,128,4,1,cuda,500,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1443.778537326389,15.244594136755884,0.007654240354895592,54.20126748085022,0.001,3,128,4,1,cuda,500,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1610.9264871987953,15.244594136755884,0.006723818834871054,110.43522810935974,0.001,3,128,4,1,cuda,1000,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1812.5782805701974,15.244594136755884,0.00688040629029274,108.9863166809082,0.001,3,128,4,1,cuda,1000,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1426.0521604647759,15.244594136755884,0.007540214341133833,96.84349417686462,0.001,3,128,4,1,cuda,1000,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1460.9640188357598,15.244594136755884,0.006507407873868942,107.18431305885315,0.001,3,128,4,1,cuda,1000,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1433.1315169532295,15.244594136755884,0.007350211497396231,92.72906494140625,0.001,3,128,4,1,cuda,1000,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1573.444181674615,15.244594136755884,0.007696529850363731,176.7043092250824,0.001,3,128,4,1,cuda,2000,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1922.1398563002008,15.244594136755884,0.006839594803750515,167.84634351730347,0.001,3,128,4,1,cuda,2000,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1625.5961371527778,15.244594136755884,0.006608367897570133,191.01184105873108,0.001,3,128,4,1,cuda,2000,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1430.6003872259873,15.244594136755884,0.006253831088542938,163.1564860343933,0.001,3,128,4,1,cuda,2000,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1511.2787687207162,15.244594136755884,0.006265314761549234,169.54753398895264,0.001,3,128,4,1,cuda,2000,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1454.9817446870816,5.757182102133744,0.009881335310637951,11.320463418960571,0.001,3,256,3,1,cuda,100,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1768.907600453899,5.757182102133744,0.00947725959122181,11.541582584381104,0.001,3,256,3,1,cuda,100,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1428.8622223268073,5.757182102133744,0.009071691893041134,12.858579158782959,0.001,3,256,3,1,cuda,100,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1343.4722352953481,5.757182102133744,0.009297329001128674,11.829825162887573,0.001,3,256,3,1,cuda,100,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1418.560063169344,5.757182102133744,0.0089883953332901,12.70653486251831,0.001,3,256,3,1,cuda,100,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1636.1389464106426,5.757182102133744,0.005074138753116131,51.82270646095276,0.001,3,256,3,1,cuda,500,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1855.7420515394913,5.757182102133744,0.006261792965233326,47.79202127456665,0.001,3,256,3,1,cuda,500,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1491.83359479585,5.757182102133744,0.0056788562797009945,54.53474044799805,0.001,3,256,3,1,cuda,500,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1509.4093783990127,5.757182102133744,0.004894766956567764,46.99498462677002,0.001,3,256,3,1,cuda,500,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1524.447626443273,5.757182102133744,0.005278898868709803,59.363669872283936,0.001,3,256,3,1,cuda,500,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1727.015405371486,5.757182102133744,0.004759855568408966,98.3676962852478,0.001,3,256,3,1,cuda,1000,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1900.1088337725903,5.757182102133744,0.005041372496634722,100.37675428390503,0.001,3,256,3,1,cuda,1000,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1560.8286845297857,5.757182102133744,0.004513766150921583,107.26782655715942,0.001,3,256,3,1,cuda,1000,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1563.5244885793172,5.757182102133744,0.004475255496799946,94.97801160812378,0.001,3,256,3,1,cuda,1000,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1545.9414520059404,5.757182102133744,0.004630148410797119,91.97889518737793,0.001,3,256,3,1,cuda,1000,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1675.0352229229418,5.757182102133744,0.0043756249360740185,167.89312958717346,0.001,3,256,3,1,cuda,2000,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1862.0532795243473,5.757182102133744,0.004747367464005947,164.00084567070007,0.001,3,256,3,1,cuda,2000,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1601.7373216825636,5.757182102133744,0.004162926226854324,171.96497440338135,0.001,3,256,3,1,cuda,2000,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1558.9755741716867,5.757182102133744,0.004313042387366295,161.87680459022522,0.001,3,256,3,1,cuda,2000,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1457.7598244540663,5.757182102133744,0.004435446113348007,161.8919997215271,0.001,3,256,3,1,cuda,2000,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1507.5591362847222,3.8504960811851583,0.0062712617218494415,10.873265743255615,0.001,3,256,4,1,cuda,100,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1693.980692300452,3.8504960811851583,0.006988396868109703,10.226954698562622,0.001,3,256,4,1,cuda,100,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1419.774187897423,3.8504960811851583,0.006570177152752876,10.013662099838257,0.001,3,256,4,1,cuda,100,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1370.1153624916333,3.8504960811851583,0.006408241111785173,10.876891851425171,0.001,3,256,4,1,cuda,100,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1299.2435366465863,3.8504960811851583,0.007820024155080318,11.643858432769775,0.001,3,256,4,1,cuda,100,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1432.8535247761881,3.8504960811851583,0.004588035400956869,65.95155191421509,0.001,3,256,4,1,cuda,500,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1775.1151258680557,3.8504960811851583,0.005009432788938284,47.88681650161743,0.001,3,256,4,1,cuda,500,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1421.125898123745,3.8504960811851583,0.005155899561941624,47.05090641975403,0.001,3,256,4,1,cuda,500,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1356.8857186558735,3.8504960811851583,0.004207891877740622,57.063807249069214,0.001,3,256,4,1,cuda,500,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1448.4401603811077,3.8504960811851583,0.003979341592639685,57.88805961608887,0.001,3,256,4,1,cuda,500,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1494.135648060994,3.8504960811851583,0.003801985178142786,112.63075613975525,0.001,3,256,4,1,cuda,1000,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1687.1353173109103,3.8504960811851583,0.00496726855635643,93.17518162727356,0.001,3,256,4,1,cuda,1000,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1402.1878804279618,3.8504960811851583,0.0036335850600153208,107.20369267463684,0.001,3,256,4,1,cuda,1000,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1410.8203700217537,3.8504960811851583,0.0038721428718417883,93.05149555206299,0.001,3,256,4,1,cuda,1000,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.5081654743976,3.8504960811851583,0.003921883646398783,91.65124464035034,0.001,3,256,4,1,cuda,1000,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1487.0529644620146,3.8504960811851583,0.0034619965590536594,154.0282757282257,0.001,3,256,4,1,cuda,2000,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1782.0927211449966,3.8504960811851583,0.0050327349454164505,198.7080807685852,0.001,3,256,4,1,cuda,2000,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1403.5540952873996,3.8504960811851583,0.0037447393406182528,197.03255081176758,0.001,3,256,4,1,cuda,2000,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1368.7259990482764,3.8504960811851583,0.0032375603914260864,192.6348476409912,0.001,3,256,4,1,cuda,2000,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1395.0442982868976,3.8504960811851583,0.0051832739263772964,211.1394202709198,0.001,3,256,4,1,cuda,2000,0.5,True
